,year,workstat,prestige,divorce,widowed,educ,reg16,babies,preteen,teens,income,region,attend,owngun,tvhours,vhappy,mothfath16,black,female,blackfemale,occattend,regattend,unem10,happy
0,1994,keeping house,46.0,no,iap,12.0,middle atlantic,2.0,3.0,0.0,$10000 - 14999,middle atlantic,sevrl times a yr,iap,2.0,0,1.0,1,1,1,1.0,0.0,1.0,1
1,1994,working fulltime,22.0,no,iap,12.0,foreign,0.0,0.0,0.0,$25000 or more,middle atlantic,every week,iap,3.0,1,0.0,1,0,0,0.0,0.0,0.0,2
2,1994,working fulltime,29.0,no,iap,12.0,foreign,0.0,0.0,0.0,$15000 - 19999,middle atlantic,more thn once wk,iap,1.0,0,0.0,1,1,1,0.0,1.0,1.0,1
3,1994,working fulltime,42.0,yes,iap,8.0,foreign,0.0,0.0,0.0,$15000 - 19999,middle atlantic,once a year,iap,3.0,0,0.0,0,0,0,0.0,0.0,1.0,0
4,1994,working parttime,36.0,no,iap,13.0,middle atlantic,0.0,1.0,1.0,$10000 - 14999,middle atlantic,once a year,iap,2.9040189927081568,0,0.0,1,1,1,0.0,0.0,0.0,0
5,1994,working parttime,43.0,no,iap,15.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,0.0,0,0.0,1,1,1,1.0,0.0,1.0,1
6,1994,working fulltime,20.0,no,iap,9.0,middle atlantic,0.0,1.0,1.0,$20000 - 24999,middle atlantic,more thn once wk,iap,10.0,0,1.0,0,1,0,0.0,1.0,1.0,0
7,1994,working fulltime,44.0,no,iap,12.0,foreign,0.0,0.0,0.0,$10000 - 14999,middle atlantic,more thn once wk,iap,4.0,1,1.0,1,0,0,0.0,1.0,0.0,2
8,1994,working fulltime,42.0,no,iap,12.0,foreign,2.0,1.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,2.0,0,0.0,1,1,1,1.0,0.0,1.0,1
9,1994,working fulltime,46.0,no,iap,12.0,middle atlantic,0.0,0.0,1.0,$15000 - 19999,middle atlantic,more thn once wk,iap,2.9040189927081568,0,1.0,1,1,1,0.0,1.0,1.0,1
10,1994,working fulltime,30.0,no,iap,0.0,foreign,0.0,0.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,2.0,0,0.0,0,1,0,1.0,0.0,1.0,1
11,1994,working fulltime,75.0,no,iap,19.0,middle atlantic,0.0,0.0,0.0,$25000 or more,middle atlantic,once a year,iap,2.0,0,1.0,0,1,0,0.0,0.0,0.0,1
12,1994,working fulltime,51.0,no,iap,16.0,foreign,0.0,0.0,0.0,$25000 or more,middle atlantic,sevrl times a yr,iap,2.0,1,1.0,0,0,0,1.0,0.0,0.0,2
